url,title,price,currency_symbol,marca,modelo,year,color,combustible,puertas,transmision,motor,carroceria,km,price_in_pesos
https://auto.mercadolibre.com.ar/mla-1114995909-volkswagen-polo-gts-2022-14t-nafta-automatico-san-blas-auto-_jm#position=44&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,volkswagen polo 1.4 tsi gts,5730000,$,volkswagen,polo,2021,blanco,nafta,5,automática,1.4,hatchback,1112,5730000
https://auto.mercadolibre.com.ar/mla-1114885205-mercedes-benz-a200-progressive-les-automotores-_jm#position=45&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,mercedes-benz clase a 1.3 a200 163cv progressive hatch,47000,u$s,mercedes-benz,clase a,2020,blanco,nafta,5,automática,1.3,hatchback,33000,9071000
https://auto.mercadolibre.com.ar/mla-1114247023-peugeot-208-16l-allure-2022-_jm#position=46&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,peugeot 208 1.6l allure,3780000,$,peugeot,208,2021,azul,nafta,5,manual,1.6,hatchback,1000,3780000
https://auto.mercadolibre.com.ar/mla-1131970643-jeep-grand-cherokee-2013-36-overland-286hp-at-_jm#position=47&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,jeep grand cherokee 3.6 overland 286hp at,29900,u$s,jeep,grand cherokee,2013,negro,nafta,5,automática,3.6,suv,156000,5770700
https://auto.mercadolibre.com.ar/mla-1120862104-volkswagen-amarok-cd-tdi-180-4x4-aut-trendline-_jm#position=48&search_layout=grid&type=item&tracking_id=2ba5033e-841a-47a9-a9b6-113445587de6,volkswagen amarok 2.0 cd tdi 180cv 4x4 trendline at,4300000,$,volkswagen,amarok,2014,blanco,diésel,4,automática,2.0,pick-up,138000,4300000
https://auto.mercadolibre.com.ar/mla-1132585112-renault-duster-dynanique-16-ad324uw-_jm#position=1&search_layout=grid&type=item&tracking_id=7a14226f-3b52-4d3c-bfc6-4ac0d6b8bdb2,renault duster 1.6 ph2 4x2 dynamique,2680000,$,renault,duster,2018,blanco,nafta,5,manual,1.6,suv,50000,2680000
https://auto.mercadolibre.com.ar/mla-1108267406-land-rover-range-rover-sport-30-v6-hse-ccamara-sunrrond-_jm#position=2&search_layout=grid&type=item&tracking_id=7a14226f-3b52-4d3c-bfc6-4ac0d6b8bdb2,land rover range rover sport 3.0 v6 hse c/cámara sunrrond,43900,u$s,land rover,range rover sport,2013,blanco,diésel,5,automática,3.0,suv,95000,8472700
https://auto.mercadolibre.com.ar/mla-1128892535-volkswagen-amarok-2021-20cd-tdi-180c-comfortline-4x4-mt-0km-_jm#position=3&search_layout=grid&type=item&tracking_id=7a14226f-3b52-4d3c-bfc6-4ac0d6b8bdb2,volkswagen amarok 2.0 cd tdi 180cv comfortline 4x4,6470000,$,volkswagen,amarok,2021,blanco,diésel,4,manual,2.0,pick-up,500,6470000
https://auto.mercadolibre.com.ar/mla-1128928574-nissan-kicks-16-advance-cvt-ln-2021-0km-_jm#position=4&search_layout=grid&type=item&tracking_id=7a14226f-3b52-4d3c-bfc6-4ac0d6b8bdb2,nissan kicks 1.6 advance cvt 120cv,4900000,$,nissan,kicks,2021,plateado,nafta,5,automática,1.6,hatchback,500,4900000
https://auto.mercadolibre.com.ar/mla-1107555432-renault-alaskan-23-bit-16v-iconic-at-4x4-car-cash-_jm#position=5&search_layout=grid&type=item&tracking_id=7a14226f-3b52-4d3c-bfc6-4ac0d6b8bdb2,renault alaskan 2.3 bit 16v iconic at 4x4,9400000,$,renault,alaskan,2021,gris plata,diésel,4,automática,2.3,pick-up,1000,9400000
