marca,year,color,combustible,puertas,transmision,motor,carroceria,km,price_in_pesos
kia,2019,azul,nafta,5,automática,1.6,hatchback,28000,3590000
kia,2020,blanco,nafta,4,automática,2.0,sedán,34000,4990000
ford,2013,naranja,nafta,5,manual,1.6,suv,81000,2400000
volkswagen,2014,negro,diésel,4,manual,2.0,pick-up,135000,4890000
volkswagen,2014,negro,nafta,5,manual,1.6,hatchback,70000,1749900
volkswagen,2019,blanco,nafta,5,automática,1.6,suv,49000,4789900
ford,2015,blanco,nafta,5,manual,1.6,hatchback,92000,2389900
volkswagen,2015,negro,diésel,4,manual,2.0,pick-up,140000,4300000
honda,2011,gris,nafta,4,automática,1.8,sedán,135000,1990000
citroën,2015,blanco,nafta,4,automática,1.6,sedán,86000,2150000
jeep,2014,gris,nafta,5,automática,3.6,suv,38000,8800000
peugeot,2016,negro,nafta,5,manual,1.6,hatchback,89000,2799900
jeep,2019,gris,nafta,5,automática,1.8,suv,30000,5399900
toyota,2008,negro,diésel,4,manual,3.0,pick-up,209000,3290900
peugeot,2017,plateado,diésel,4,manual,1.6,sedán,45000,3350000
volkswagen,2018,blanco,diésel,4,automática,2.0,pick-up,80100,5790000
honda,2019,blanco,nafta,5,automática,1.8,suv,55000,6100000
chevrolet,2017,blanco,diésel,4,manual,2.8,pick-up,57000,4290000
chevrolet,2017,blanco,diésel,4,manual,2.8,pick-up,58100,4300000
honda,2019,blanco,nafta,5,automática,1.8,suv,55010,6120000
ford,2012,blanco,nafta/gnc,5,manual,1.6,suv,128000,1549900
renault,2017,plateado,nafta,4,manual,1.6,sedán,56624,2100000
jeep,2018,blanco,nafta,5,automática,1.8,suv,54677,4450000
chevrolet,2014,gris,nafta,5,automática,1.8,suv,84451,3100000
ford,2013,blanco,nafta/gnc,4,manual,2.5,pick-up,135000,3500000
nissan,2018,blanco,nafta,5,automática,1.6,hatchback,35000,2950000
mercedes-benz,2020,azul,nafta,5,automática,2.0,coupé,22619,20000000
volkswagen,2019,blanco,diésel,4,automática,2.0,pick-up,111000,6899999
volkswagen,2014,negro,nafta,5,manual,1.0,hatchback,82300,2209000
toyota,2019,blanco,diésel,5,automática,2.8,suv,11600,10300000
chevrolet,2019,blanco,nafta,5,automática,1.8,suv,20000,4737900
volkswagen,2018,blanco,diésel,4,automática,2.0,pick-up,80000,5850000
renault,2021,gris,nafta,5,manual,1.6,hatchback,620,2750000
toyota,2012,blanco,diésel,4,manual,2.5,pick-up,148000,3600000
chevrolet,2017,blanco,diésel,4,manual,2.8,pick-up,56000,4300000
peugeot,2017,blanco,diésel,4,manual,1.6,furgón,95000,2200000
ford,2007,gris,nafta,4,manual,1.6,sedán,165000,1050000
peugeot,2018,rojo,nafta,5,manual,1.6,hatchback,35000,3450000
audi,2011,plateado,nafta,5,automática,2.0,hatchback,89973,3300000
jeep,2018,plateado,nafta,5,manual,2.4,suv,44312,5400000
volkswagen,2018,dorado,diésel,4,manual,2.0,pick-up,29000,6700000
renault,2014,gris,nafta,4,manual,1.6,sedán,91000,1550000
audi,2020,azul acero,nafta,5,automática,1.5,hatchback,5000,9580000
volkswagen,2016,plateado,nafta,5,automática,1.4,hatchback,80862,4400000
audi,2020,blanco,nafta,5,automática,1.5,hatchback,4000,9580000
audi,2020,blanco,nafta,5,automática,1.5,hatchback,5000,9580000
toyota,2021,gris,diésel,4,automática,2.8,pick-up,1000,9799900
audi,2021,negro,nafta,5,automática,2.0,suv,9500,17600000
